,topic,name,user,star,fork,watch,issue,pull_requests,projects,topic_tag,discription_text,discription_url,commits,branches,packages,releases,contributers,License,url
58,java,spring-boot-demo,xkcoding,12.3k,4.1k,612,29,7,0,"['java', 'in-action', 'demo', 'web', 'spring', 'spring-boot', 'spring-boot-2', 'spring-boot-demo', 'xkcoding']",spring boot demo 是一个用来深度学习并实战 spring boot 的项目，目前总共包含 65 个集成demo，已经完成 53 个。 该项目已成功集成 actuator(监控)、admin(可视化监控)、logback(日志)、aopLog(通过AOP记录web请求日志)、统一异常处理(json级别和页面级别)、freemarker(模板引擎)、thymeleaf(模板引擎)、Beetl(模板引擎)、Enjoy(模板引擎)、JdbcTemplate(通用JDBC操作数据库)、JPA(强大的ORM框架)、mybatis(强大的ORM框架)、通用Mapper(快速操作Mybatis)、PageHelper(通用的Mybatis分页插件)、mybatis-plus(快速操作M…,https://parg.co/UZM,700,3,0,0,0,MIT,https://github.com/xkcoding/spring-boot-demo
59,java,graal,oracle,12.3k,855,445,589,68,3,"['polyglot', 'vm', 'java', 'javascript', 'python', 'r', 'ruby', 'c']",GraalVM: Run Programs Faster Anywhere 🚀,https://www.graalvm.org,"44,001",14,0,0,154,View license,https://github.com/oracle/graal
60,java,LearningNotes,francistao,12.2k,4k,984,62,30,0,"['java', 'android', 'jvm']",Enjoy Learning.,,227,1,0,0,0,Fetching contributors,https://github.com/francistao/LearningNotes
61,java,logger,orhanobut,12.2k,1.9k,374,46,10,,"['android', 'java', 'log', 'logger', 'logcat', 'pretty-printer', 'timber', 'json-logging']","✔️ Simple, pretty and powerful logger for android",,144,1,0,0,21,Apache-2.0,https://github.com/orhanobut/logger
62,java,Sentinel,alibaba,11.9k,3.7k,682,175,34,0,"['alibaba', 'java', 'microservice', 'circuit-breaker', 'rate-limiting', 'reliability']","A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)",https://sentinelguard.io/,564,14,0,0,19,Apache-2.0,https://github.com/alibaba/Sentinel
63,java,hutool,looly,11.8k,3.7k,466,4,0,0,"['java', 'hutool', 'http', 'json', 'orm', 'util', 'tool']",A set of tools that keep Java sweet.,http://www.hutool.cn,616,2,0,0,54,View license,https://github.com/looly/hutool
64,java,deeplearning4j,eclipse,11.6k,4.8k,827,983,7,1,"['java', 'gpu', 'deeplearning', 'neural-nets', 'deeplearning4j', 'dl4j', 'hadoop', 'spark', 'intellij', 'artificial-intelligence', 'python', 'scala', 'clojure', 'linear-algebra', 'matrix-library']","Eclipse Deeplearning4j, ND4J, DataVec and more - deep learning & linear algebra for Java/Scala with GPUs + Spark",http://deeplearning4j.org,843,67,0,0,56,Apache-2.0,https://github.com/eclipse/deeplearning4j
65,java,playframework,playframework,11.6k,3.9k,722,398,34,,"['scala', 'java', 'reactive', 'web-framework', 'restful', 'play', 'playframework', 'jvm', 'framework', 'webapps']",Play Framework,http://www.playframework.com/,"10,688",11,0,0,186,Apache-2.0,https://github.com/playframework/playframework
66,java,logstash,elastic,11.3k,3k,845,"1,565",123,0,"['etl-framework', 'streaming', 'logging', 'java', 'jruby', 'real-time-processing']","Logstash - transport and process your logs, events, or other data",https://www.elastic.co/products/logstash,"9,486",87,0,0,221,View license,https://github.com/elastic/logstash
67,java,ray,ray-project,11.2k,1.7k,376,809,116,0,"['ray', 'distributed', 'parallel', 'machine-learning', 'reinforcement-learning', 'deep-learning', 'python', 'rllib', 'hyperparameter-search', 'optimization', 'data-science', 'automl', 'hyperparameter-optimization', 'model-selection', 'java']","A fast and simple framework for building and running distributed applications. Ray is packaged with RLlib, a scalable reinforcement learning library, and Tune, a scalable hyperparameter tuning library.",https://ray.io,"4,472",15,0,0,34,Apache-2.0,https://github.com/ray-project/ray
